Now the first column is url which is missing 404, second column is Anchor text and third column is Linked From
keep in mind that https://alpine-academy-frontend.vercel.app/ is baseUrl of project, you need to fix each 404 link on these page , only need to fix these links please

URL	Anchor Text	Linked From
https://alpine-academy-frontend.vercel.app/camaras.html	Cámaras	https://alpine-academy-frontend.vercel.app/blog/mejores-restaurantes-baqueira-beret.html
https://alpine-academy-frontend.vercel.app/alquiler.html	Alquiler	https://alpine-academy-frontend.vercel.app/blog/mejores-restaurantes-baqueira-beret.html
https://alpine-academy-frontend.vercel.app/precios.html	Precios	https://alpine-academy-frontend.vercel.app/blog/mejores-restaurantes-baqueira-beret.html
https://alpine-academy-frontend.vercel.app/contacto.html	Reserva	https://alpine-academy-frontend.vercel.app/blog/mejores-restaurantes-baqueira-beret.html
https://alpine-academy-frontend.vercel.app/Política-de-cancelación.html	Política de Can	https://alpine-academy-frontend.vercel.app/blog/mejores-restaurantes-baqueira-beret.html
https://alpine-academy-frontend.vercel.app/language.js	script/src	https://alpine-academy-frontend.vercel.app/blog/mejores-restaurantes-baqueira-beret.html
https://alpine-academy-frontend.vercel.app/pt/images/clases-esquí-alpine-ski-academy.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/clase-de-snowboard-baqueira-alpine-ski-academy.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/clases-colectivas-grupo-adultos-baqueira.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/salto-snowparck-tail-grab.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/clases-de-nieve-polvo.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/esqui-empresas-team-building-baqueira.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/blog_cover_1.jpg	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/blog_cover_2.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/images/blog_cover_3.webp	inline style	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/logo1.jpg	img/src	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/clase-particular-carv.webp	img/src	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/dynastar.webp	img/src	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/lange.webp	img/src	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/rossignol.webp	img/src	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/pt/briko.webp	img/src	https://alpine-academy-frontend.vercel.app/pt/index.html
https://alpine-academy-frontend.vercel.app/en/clases-esqui-baqueria-en.html	English	https://alpine-academy-frontend.vercel.app/en/ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-baqueira-ca.html	Català	https://alpine-academy-frontend.vercel.app/en/ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/clases-esqui-baqueria-fr.html	Français	https://alpine-academy-frontend.vercel.app/en/ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/clases-esqui-baqueria-pt.html	Português	https://alpine-academy-frontend.vercel.app/en/ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/clases-esqui-baqueria-en.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-de-ski-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-baqueira-ca.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-de-ski-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/clases-esqui-baqueria-fr.html	Français	https://alpine-academy-frontend.vercel.app/fr/cours-de-ski-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/clases-esqui-baqueria-pt.html	Português	https://alpine-academy-frontend.vercel.app/fr/cours-de-ski-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/clases-esqui-baqueria-en.html	English	https://alpine-academy-frontend.vercel.app/pt/aulas-de-esqui-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/classes-esqui-baqueira-ca.html	Català	https://alpine-academy-frontend.vercel.app/pt/aulas-de-esqui-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/clases-esqui-baqueria-fr.html	Français	https://alpine-academy-frontend.vercel.app/pt/aulas-de-esqui-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/clases-esqui-baqueria-pt.html	Português	https://alpine-academy-frontend.vercel.app/pt/aulas-de-esqui-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-particulars-families-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-families-baqueira.html
https://alpine-academy-frontend.vercel.app/en/cours-ski-prives-familles-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-families-baqueira.html
https://alpine-academy-frontend.vercel.app/en/aulas-esqui-privadas-familias-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-families-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/private-ski-lessons-families-baqueira.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-particuliers-familles-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-particulars-families-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-particuliers-familles-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/cours-ski-prives-familles-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/fr/cours-particuliers-familles-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/aulas-esqui-privadas-familias-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/fr/cours-particuliers-familles-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/private-ski-lessons-families-baqueira.html	English	https://alpine-academy-frontend.vercel.app/pt/aulas-particulares-familias-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/classes-esqui-particulars-families-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/pt/aulas-particulares-familias-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/cours-ski-prives-familles-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/pt/aulas-particulares-familias-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/aulas-esqui-privadas-familias-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/pt/aulas-particulares-familias-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-particulars-carv-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/en/cours-ski-prives-carv-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/en/aulas-esqui-privadas-carv-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/en/private-ski-lessons-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/private-ski-lessons-carv-baqueira.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-technologie-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-particulars-carv-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-technologie-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/cours-ski-prives-carv-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/fr/cours-technologie-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/aulas-esqui-privadas-carv-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/fr/cours-technologie-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/private-ski-lessons-carv-baqueira.html	English	https://alpine-academy-frontend.vercel.app/pt/aulas-tecnologia-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/classes-esqui-particulars-carv-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/pt/aulas-tecnologia-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/cours-ski-prives-carv-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/pt/aulas-tecnologia-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/aulas-esqui-privadas-carv-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/pt/aulas-tecnologia-carv-baqueira.html
https://alpine-academy-frontend.vercel.app/en/classes-esqui-freeride-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/en/freeride-ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/cours-ski-freeride-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/en/freeride-ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/en/aulas-esqui-freeride-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/en/freeride-ski-lessons-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/freeride-ski-lessons-baqueira.html	English	https://alpine-academy-frontend.vercel.app/fr/cours-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/classes-esqui-freeride-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/fr/cours-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/cours-ski-freeride-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/fr/cours-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/fr/aulas-esqui-freeride-baqueira.html	Português	https://alpine-academy-frontend.vercel.app/fr/cours-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/freeride-ski-lessons-baqueira.html	English	https://alpine-academy-frontend.vercel.app/pt/aulas-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/classes-esqui-freeride-baqueira.html	Català	https://alpine-academy-frontend.vercel.app/pt/aulas-freeride-baqueira.html
https://alpine-academy-frontend.vercel.app/pt/cours-ski-freeride-baqueira.html	Français	https://alpine-academy-frontend.vercel.app/pt/aulas-freeride-baqueira.html
